data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6700106,262,DJI135,135,2019-11-14,2019,1,Protests,Peaceful protest,Protesters (Djibouti),,6,,,0,60,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,Radio Boukao,New media,"On 14 November 2019, in Djibouti, residents of Arhiba organized a sit-in to denounce the two weeks detention of activist Kako Homad Kako by the Djiboutian police.[size=no report]",0,1576855238,DJI
6336559,262,DJI134,134,2019-11-03,2019,1,Strategic developments,Arrests,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),,7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,International Federation for Human Rights,Other,"On 3 Novembre 2019, in Djibouti, opposition leader Kako Houmed Kako was placed in provisory detention by the tribunal of Djibouti. The motives behind his inculpation remain unknown.",0,1573519207,DJI
6331318,262,DJI128,128,2019-11-01,2019,1,Protests,Peaceful protest,Protesters (Djibouti),,6,,,0,60,Eastern Africa,Djibouti,Obock,Obock,,Obock,11.9631,43.2906,1,RFI,International,"On 1 November 2019, a protest to denounce the arrest of Kako Houmed Kako was held in Obock.[size=no report]",0,1572909431,DJI
6331319,262,DJI129,129,2019-11-01,2019,1,Protests,Peaceful protest,Protesters (Djibouti),,6,,,0,60,Eastern Africa,Djibouti,Tadjourah,Randa,,Randa,11.8469,42.6606,1,RFI,International,"On 1 November 2019, a protest to denounce the arrest of Kako Houmed Kako was held in Randa.[size=no report]",0,1572909431,DJI
6331322,262,DJI130,130,2019-11-01,2019,1,Protests,Peaceful protest,Protesters (Djibouti),,6,,,0,60,Eastern Africa,Djibouti,Tadjourah,Tadjourah,,Tadjourah,11.7853,42.8844,1,RFI,International,"On 1 November 2019, a protest to denounce the arrest of Kako Houmed Kako was held in Tadjourah. [size=no report]",0,1572909431,DJI
6331282,262,DJI132,132,2019-10-31,2019,1,Strategic developments,Arrests,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),,7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,Radio Boukao,New media,"On 31 Octotber 2019, in Djibouti, opposition leader Kako Houmed Kako was arrested by the Djiboutian police and transferred to an unknown place.",0,1572909431,DJI
6331321,262,DJI127,127,2019-10-31,2019,1,Protests,Excessive force against protesters,Police Forces of Djibouti (1999-),,1,Protesters (Djibouti),,6,16,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,2,RFI,International,"On 31 October 2019, in Arhiba (south of Djibouti city), for 24 hours, protestors demonstrated against the arrest of Kako Houmed Kako by the police. The use of real bullets by the police was reported in response. According to the human rights Djiboutian league dozens of protestors where injured and arrested.[size=no report]",0,1572909431,DJI
6331184,262,DJI131,131,2019-10-27,2019,1,Strategic developments,Arrests,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),Journalists (Djibouti),7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,International Federation for Human Rights,Other,"On 27 October 2019, in Djibouti journalist Osman Yonis Bogoreh was arrested for a secong time by the Djiboutian police after his release a day before.",0,1572909431,DJI
6356911,262,DJI133,133,2019-10-25,2019,1,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),Journalists (Djibouti),7,17,Eastern Africa,Djibouti,Ali Sabieh,Goubetto,,Goubetto,11.4239,43.0003,1,International Federation for Human Rights,Other,"On 26 October 2019, in Goubetto, journalist Osman Yonis Bogoreh, was reported to be tortured for 48 hours by the Djiboutian police before his release.",0,1574121962,DJI
6129513,262,DJI125,125,2019-09-30,2019,1,Protests,Peaceful protest,Protesters (Djibouti),Labour Group (Djibouti),6,,,0,60,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,Twitter,New media,"On 30 September 2019, young graduate unemployed held a peaceful protest in Djibouti against austerity, poverty and unemployment. [size=no report]",0,1571164645,DJI
6120683,262,DJI124,124,2019-09-16,2019,2,Battles,Armed clash,Issa Clan Militia (Djibouti),,4,Afar Ethnic Militia (Djibouti),,4,44,Eastern Africa,Djibouti,Dikhil,As Eyla,,As Eyla,11.0036,42.1025,1,Radio Boukao,New media,"On or around 16 September 2019, armed clashes were reported in As Eyla, Dikhil region between Afar and Issa groups. At least one person was injured.",0,1571164634,DJI
6128621,262,DJI126,126,2019-09-11,2019,1,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),,7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,2,Twitter,New media,"On 11 September 2019, Gadidche Ladieh Omar was tortured and murdered in detention at the Nagad Police Academy.",1,1571164644,DJI
6120684,262,DJI123,123,2019-09-03,2019,2,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,1,Civilians (Djibouti),Government of Djibouti (1999-),7,17,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,3,Radio Boukao,New media,"On or around 3 September 2019, several policemen attacked and beat the Chief of Service for the Port, inside his vehicle.",0,1571164634,DJI
5727330,262,DJI122,122,2019-08-26,2019,1,Violence against civilians,Attack,Military Forces of Djibouti (1999-),,1,Civilians (Djibouti),Pastoralists (Djibouti),7,17,Eastern Africa,Djibouti,Obock,Obock,,Medeho,11.9731,43.0261,1,ARD Djibouti,National,"On August 26, in Medeho, Mabla-Obock village, Military forces allegedly opened fire on herdsmen following the killing of a soldier's dog. No fatalities reported.",0,1567450156,DJI
