data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6718894,404,KEN7204,7204,2020-01-11,2020,1,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,1,12,Eastern Africa,Kenya,Mandera,Mandera North,Morothile,Olla,3.9167,40.85,1,The Star (Kenya),National,"On January 11 2020, Al Shabaab militants attacked a police post and then a communications post nearby in Olla, Mandera County. No casualties were reported.",0,1578943802,KEN
6718699,404,KEN7203,7203,2020-01-10,2020,1,Protests,Protest with intervention,Protesters (Kenya),Government of Kenya (2013-),6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Nairobi,Kilimani,Kilimani,Kilimani,-1.2839,36.7977,1,Daily Nation (Kenya),National,"On January 10 2020, police used tear gas to disperse MPs who had gathered at the Kilimani police station in Nairobi County to demand the release of an MP that had been arrested following an assault claim against him. [size=scores]",0,1578943802,KEN
6718694,404,KEN7202,7202,2020-01-09,2020,1,Protests,Peaceful protest,Protesters (Kenya),Labour Group (Kenya),6,,,0,60,Eastern Africa,Kenya,Nyeri,Mathira,Konyu,Karatina,-0.4817,37.1251,2,Citizen (Kenya),National,"On January 9 2020, traders protested along the railway in Chaka and Karatina in Nyeri County due to being displaced for the revival of the railway. [size=no report]",0,1578943802,KEN
6718828,404,KEN7201,7201,2020-01-08,2020,1,Protests,Peaceful protest,Protesters (Kenya),Labour Group (Kenya),6,,,0,60,Eastern Africa,Kenya,Nairobi,Starehe,Nairobi Central,Nairobi,-1.283,36.817,1,NTV (Kenya),New media,"On January 8 2020, workers employed by Nairobi County protested outside city hall to demand payment. No further information was available. [size=no report]",0,1578943802,KEN
6718695,404,KEN7200,7200,2020-01-07,2020,1,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Al Shabaab,,2,12,Eastern Africa,Kenya,Garissa,Dadaab,Dadaab,Dadaab,0.0524,40.3086,2,Citizen (Kenya),National,"On January 7 2020, Al Shabaab militants fired at a Safaricom mast and clashed with police guarding the facility in Saretho in Dadaab, Garissa County. Children from a nearby school were also targeted in the attack. 4 civilians and 2 attackers were killed.",6,1578943802,KEN
6718752,404,KEN7198,7198,2020-01-06,2020,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Migori,Suna West,Ragana-Oruba,Suna,-1.0964,34.4542,1,Kenya Standard,National,"On January 6 2020, angry parents prevented the head teacher from accessing Suna primary school in Migori County due to poor test scores. [size=no report]",0,1578943802,KEN
6718829,404,KEN7196,7196,2020-01-06,2020,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (Kenya),,7,57,Eastern Africa,Kenya,Kitui,Mwingi East,Kivou,Mwingi,-0.9333,38.0667,1,NTV (Kenya),New media,"On January 6 2020, a mob killed a suspected robber during an attempted robbery of a shop in Mwingi (Kitui). 2 other robbers escaped unharmed. [size=no report]",1,1578943802,KEN
6718891,404,KEN7197,7197,2020-01-06,2020,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Bomet,Bomet Central,Ndarawetta,Ndarawetta,-0.6868,35.3801,1,The Star (Kenya),National,"On January 6 2020, angry parents stormed the Kwenikab Ilet school in Ndarawetta (Bomet County) and ejected the principal due to poor exam results. [size=no report]",0,1578943802,KEN
6718892,404,KEN7199,7199,2020-01-06,2020,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (Kenya),,7,57,Eastern Africa,Kenya,Makueni,Makueni,Wote,Wote,-1.7808,37.6288,2,The Star (Kenya),National,"On January 6 2020, residents tried to kill a man who was suspected to have murdered a child in Makueni county. Police intervened to disperse the rioters. [size=no report]",0,1578943802,KEN
6718693,404,KEN7195,7195,2020-01-06,2020,1,Riots,Mob violence,Rioters (Kenya),,5,Civilians (Kenya),Teachers (Kenya); Women (Kenya),7,57,Eastern Africa,Kenya,Kitui,Kitui East,Mutito-Kaliku,Mutitu,-1.2259,38.19,1,Citizen (Kenya),National,"On January 6 2020, an angry mob killed a teacher and burnt her body in Mutitu, Kitui County, over poor test scores. 2 people were arrested. [size=no report]",1,1578943802,KEN
